,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@LefterisJP Lmaooo,1446,68,2022-11-20 02:10:11+00:00
1,elonmusk,@TrungTPhan 🤣🤣,6878,299,2022-11-20 02:07:29+00:00
2,elonmusk,"The people have spoken. 

Trump will be reinstated.

Vox Populi, Vox Dei. https://t.co/jmkhFuyfkv",348228,60574,2022-11-20 00:53:25+00:00
3,elonmusk,@TheBabylonBee 🤣 but actually,18600,822,2022-11-20 00:30:26+00:00
4,elonmusk,@MomAngtrades 🤣,37588,1661,2022-11-20 00:15:30+00:00
5,elonmusk,134M people have seen this poll,125958,7108,2022-11-19 23:07:08+00:00
6,elonmusk,@TrungTPhan Red Bull does work tbh,31619,1367,2022-11-19 23:05:34+00:00
7,elonmusk,@BillyM2k @lexfridman Definitely need to improve Twitter’s dopamine/cortisol ratio!,7315,446,2022-11-19 22:49:44+00:00
8,elonmusk,@BillyM2k @waitbutwhy I agree,3373,146,2022-11-19 22:48:54+00:00
9,elonmusk,@micsolana 🤣🤣,4969,190,2022-11-19 21:21:31+00:00
10,elonmusk,The most entertaining outcome is the most likely – my variant on Occam’s Razor,100174,6776,2022-11-19 21:19:48+00:00
11,elonmusk,@alexxubyte Twitter search will add feedback loops to improve result rank based on which result you click on &amp; whether you immediately click back (implies wrong result),3991,251,2022-11-19 21:16:47+00:00
12,elonmusk,"@alexxubyte Notes from last night:
- Maybe deprecate TLS this week, as only needed if Android app &gt;1 year old.
- Home mixer computes Home  ~10X faster than Timeline.
- Ad mixer can greatly improve relevance at cost of lower total ad views. More interesting the ad, more time you look at it.",14888,1001,2022-11-19 21:14:12+00:00
13,elonmusk,@ErrolWebber Most accurate would be to require access to phone GPS for location-specific polls,7725,451,2022-11-19 14:12:19+00:00
14,elonmusk,@ErrolWebber Yes,5443,252,2022-11-19 14:11:07+00:00
15,elonmusk,Fascinating to watch Twitter Trump poll!,360601,20335,2022-11-19 13:23:21+00:00
16,elonmusk,@Nomad_1x Bot &amp; troll armies might be running out of steam soon. Some interesting lessons to clean up future polls.,33066,3460,2022-11-19 13:02:19+00:00
17,elonmusk,@DavidSacks Good question,24853,1343,2022-11-19 12:45:54+00:00
18,elonmusk,@WholeMarsBlog Most amount of people I’ve ever seen in the building by far,180129,7655,2022-11-19 12:19:23+00:00
19,elonmusk,@micsolana 🤣🤣,5634,204,2022-11-19 12:02:22+00:00
20,elonmusk,@Jason @DavidSacks @Zappos That was certainly my intention too!,4980,185,2022-11-19 11:43:12+00:00
21,elonmusk,Tesla FSD 10.69.3.1 going to wide release now,105166,6298,2022-11-19 09:37:51+00:00
22,elonmusk,Just leaving Twitter HQ code review https://t.co/pYcXRTJm14,400992,32173,2022-11-19 09:28:36+00:00
23,elonmusk,@Nomad_1x The bot attack is impressive to watch!,53261,3961,2022-11-19 09:21:31+00:00
24,elonmusk,Trump poll getting ~1M votes/hour!,518560,33238,2022-11-19 09:05:35+00:00
25,elonmusk,@micsolana Can’t tell if this is parody or real,8954,325,2022-11-19 09:02:30+00:00
26,elonmusk,"@jack @Lucididy @jordanbpeterson Verification through the payment system plus phones, but allowing pseudonyms is the least bad solution I can think of",13279,757,2022-11-19 06:06:34+00:00
27,elonmusk,"@saylor When polls are about a significant question, even those who don’t follow me tend to hear about it. That said, I agree with the idea of an all-user poll. Should also be an all-user by country poll.",186651,7548,2022-11-19 02:09:59+00:00
28,elonmusk,@lexfridman Agreed,28734,659,2022-11-19 02:07:59+00:00
29,elonmusk,"Vox Populi, Vox Dei",252187,19768,2022-11-19 00:53:47+00:00
30,elonmusk,Reinstate former President Trump,643589,219483,2022-11-19 00:47:45+00:00
31,elonmusk,@thevivafrei @paraga @jack Too bad,59132,1822,2022-11-19 00:41:18+00:00
32,elonmusk,@S3XYstarship @slashdot DoJ Antitrust @JusticeATR,4111,258,2022-11-19 00:25:35+00:00
33,elonmusk,"@slashdot App store fees are obviously too high due to the iOS/Android duopoly. 

It is a hidden 30% tax on the Internet.",51674,4526,2022-11-19 00:15:53+00:00
34,elonmusk,@Tesmanian_com Kind of him to say. I look forward to meeting.,51358,2266,2022-11-19 00:13:23+00:00
35,elonmusk,@TrungTPhan 🤣,6450,194,2022-11-18 22:14:51+00:00
36,elonmusk,First World Cup match on Sunday! Watch on Twitter for best coverage &amp; real-time commentary.,601129,54269,2022-11-18 22:07:39+00:00
37,elonmusk,@BillyM2k Exactly,32158,1735,2022-11-18 21:52:14+00:00
38,elonmusk,@Benioff Thanks Marc ❤️,61748,2012,2022-11-18 21:11:12+00:00
39,elonmusk,@HardcoreNolley No,68585,1590,2022-11-18 19:03:47+00:00
40,elonmusk,"Note, this applies just to the individual tweet, not the whole account",127891,7381,2022-11-18 18:38:38+00:00
41,elonmusk,@TheBabylonBee If only there had been a way … 🤣🤣,49076,3176,2022-11-18 18:37:03+00:00
42,elonmusk,"Kathie Griffin, Jorden Peterson &amp; Babylon Bee have been reinstated.

Trump decision has not yet been made.",258204,20657,2022-11-18 18:33:48+00:00
43,elonmusk,"New Twitter policy is freedom of speech, but not freedom of reach.

Negative/hate tweets will be max deboosted &amp; demonetized, so no ads or other revenue to Twitter. 

You won’t find the tweet unless you specifically seek it out, which is no different from rest of Internet.",397530,41445,2022-11-18 18:31:47+00:00
44,elonmusk,Freedom Fridays …,375619,24362,2022-11-18 18:22:01+00:00
45,elonmusk,@BillyM2k Jazz hands 🤗,31842,1232,2022-11-18 18:19:37+00:00
46,elonmusk,What should Twitter do next?,504944,31759,2022-11-18 17:38:07+00:00
47,elonmusk,@Yemen_770 🤣,2388,103,2022-11-18 17:37:40+00:00
48,elonmusk,@micsolana You don’t say …,41768,2333,2022-11-18 16:40:26+00:00
49,elonmusk,@SamTwits Of course not ❤️,49254,1451,2022-11-18 15:56:43+00:00
50,elonmusk,@DrKrusher 🥱,37451,981,2022-11-18 15:33:16+00:00
51,elonmusk,@MikeDulaimi I stand corrected!,20315,486,2022-11-18 15:20:01+00:00
52,elonmusk,https://t.co/OjhQJvruTy,764026,97409,2022-11-18 15:16:30+00:00
53,elonmusk,@lionxmah @folha ?,2978,124,2022-11-18 10:26:25+00:00
54,elonmusk,@AOC You’re welcome,540139,21643,2022-11-18 09:47:40+00:00
55,elonmusk,"@WholeMarsBlog Record numbers of users are logging in to see if Twitter is dead, ironically making it more alive than ever!",51767,5193,2022-11-18 09:25:02+00:00
56,elonmusk,@piersmorgan Seriously,132893,4660,2022-11-18 08:56:22+00:00
57,elonmusk,https://t.co/JU073T756X,338508,23641,2022-11-18 06:40:12+00:00
58,elonmusk,https://t.co/rbwbsLA1ZG,2107337,234800,2022-11-18 04:23:16+00:00
59,elonmusk,🏴‍☠️,539559,35061,2022-11-18 04:20:14+00:00
60,elonmusk,@ashleevance 🤣,8734,271,2022-11-18 04:19:11+00:00
61,elonmusk,Let that sink in …,225057,9205,2022-11-18 04:12:21+00:00
62,elonmusk,And … we just hit another all-time high in Twitter usage lol,711990,47207,2022-11-18 04:07:05+00:00
63,elonmusk,"@stoolpresidente The best people are staying, so I’m not super worried",196228,12870,2022-11-18 03:58:03+00:00
64,elonmusk,"@bgurley @MichaelGuimarin Don’t wanna jinx it, but there’s a chance we can keep Twitter alive … https://t.co/mk3aCq0dEB",13024,1206,2022-11-18 03:46:11+00:00
65,elonmusk,@anothercohen Thanks for helping out. You’re a lifesaver!,138662,4756,2022-11-18 03:34:58+00:00
66,elonmusk,@MichaelGuimarin Thanks!,16713,422,2022-11-18 01:29:38+00:00
67,elonmusk,"How do you make a small fortune in social media?

Start out with a large one.",453665,26571,2022-11-18 01:25:55+00:00
68,elonmusk,@growing_daniel @micsolana 🤣,36211,1460,2022-11-17 23:34:38+00:00
69,elonmusk,"@EvaFoxU The media constantly writing about Twitter is driving usage to all-time highs, so it’s fine by me!",108532,7682,2022-11-17 23:28:28+00:00
70,elonmusk,@MinimalDuck @Tesla Cybertruck is something special that comes along once in a long while,46102,2294,2022-11-17 20:28:52+00:00
71,elonmusk,"@heydave7 Current class-action law is actually a massive tax on the American people and desperately needs reform. It is one of the reasons medication is so expensive in the USA.

Somehow, other countries do just fine without class-action law.",12727,1334,2022-11-17 17:53:14+00:00
72,elonmusk,@heydave7 The actual attackers in class-action lawsuits are the law firms. They just find someone in the class to be their puppet.,14679,1032,2022-11-17 17:50:20+00:00
73,elonmusk,@AutismCapital Ok,7113,197,2022-11-17 17:41:14+00:00
74,elonmusk,@chazman We’re working on something that should rank replies automatically,13135,625,2022-11-17 15:31:43+00:00
75,elonmusk,Twitter is like open-sourcing the news,400208,31828,2022-11-17 15:26:13+00:00
76,elonmusk,@dogeofficialceo Polycule 🔥🔥,16732,803,2022-11-17 15:24:04+00:00
77,elonmusk,@sama Probably,7102,289,2022-11-17 15:21:51+00:00
78,elonmusk,@Dilbert_Daily Even TikTok is super dependent on ads,25001,1313,2022-11-17 15:21:10+00:00
79,elonmusk,"SBF is ineffective altruism, but they thought he was saying he was in effective altruism. Easy misunderstanding.",58434,3540,2022-11-17 15:15:23+00:00
80,elonmusk,@growing_daniel @jeremiahscholl I don’t wanna brag but … it’s true,6174,201,2022-11-17 15:11:47+00:00
81,elonmusk,@minliangtan Definitely,9374,340,2022-11-17 08:45:55+00:00
82,elonmusk,Not to mention the sickkk memes lol,131053,5561,2022-11-17 08:37:59+00:00
83,elonmusk,Coverage of FTX meltdown is incomparably faster *and* better quality on Twitter than old-school media,314683,28691,2022-11-17 08:35:22+00:00
84,elonmusk,@BillyM2k @adamscochran @accretionist Ability to do long tweets coming soon,16992,1326,2022-11-17 07:43:09+00:00
85,elonmusk,@westcoastbill https://t.co/O9quYfsUqV,5274,300,2022-11-17 07:24:53+00:00
86,elonmusk,"@AutismCapital It’s not his fault, society is to blame. Arrest society!",15638,978,2022-11-17 06:50:26+00:00
87,elonmusk,@SaladBarFan 🎯,14625,657,2022-11-17 05:04:19+00:00
88,elonmusk,@DavidSacks I believe in vice-signaling,15149,1004,2022-11-17 03:34:42+00:00
89,elonmusk,"@laurenweinstein @stocktalkweekly Correct. I will continue to run Twitter until it is in a strong place, which will take some time.",9318,668,2022-11-17 03:32:28+00:00
90,elonmusk,@jack Magic 🎱 knows all,119875,6118,2022-11-17 03:30:38+00:00
91,elonmusk,@amitkgupta84 @Jason Literally working on that tonight,5793,245,2022-11-17 03:16:59+00:00
92,elonmusk,@paulg People have no idea how fast Twitter will evolve,27319,2348,2022-11-16 22:26:02+00:00
93,elonmusk,@WholeMarsBlog Yep,10248,495,2022-11-16 22:17:42+00:00
94,elonmusk,"@realGeorgeHotz @boing Sure, let’s talk.",10065,412,2022-11-16 20:23:08+00:00
95,elonmusk,"@jimmyfallon Wait a second, how do we know you’re not an alien body snatcher pretending to be Jimmy!? 

Say something that only the real Jimmy would say …",51702,1985,2022-11-16 18:56:33+00:00
96,elonmusk,@rising_serpent Why is that?,73547,3481,2022-11-16 17:25:25+00:00
97,elonmusk,@jimmyfallon Sounds like a job for @CommunityNotes!,10640,318,2022-11-16 17:19:54+00:00
98,elonmusk,"@bowx_ To heir is human, to forgive, divine (something like that)",8114,354,2022-11-16 13:55:43+00:00
99,elonmusk,@jimmyfallon Fix what?,173666,5947,2022-11-16 13:53:57+00:00
100,elonmusk,@Mrwhosetheboss Maybe,79136,1841,2022-11-16 13:45:50+00:00
101,elonmusk,@NASA @NASAArtemis @NASA_SLS @NASA_Orion Congratulations!!,39886,1808,2022-11-16 08:25:44+00:00
102,elonmusk,@JuliusSinghania @wongmjane X will be the everything app,8073,755,2022-11-16 07:17:56+00:00
103,elonmusk,@yukaichou I’m the taint haha,10042,416,2022-11-16 07:09:17+00:00
104,elonmusk,"@nichegamer @teslaownersSV @chicago_glenn @stillgray @dcherring Yeah, next-level 🤣🤣",2511,107,2022-11-16 07:07:09+00:00
105,elonmusk,@teslaownersSV @chicago_glenn @stillgray @dcherring @nichegamer Fasting + Ozempic/Wegovy + no tasty food near me,4431,285,2022-11-16 06:36:21+00:00
106,elonmusk,@chicago_glenn @stillgray @dcherring @nichegamer Down 30 lbs!,5614,194,2022-11-16 06:33:50+00:00
107,elonmusk,@jhall @stillgray @dcherring @nichegamer @Forbes Yup,2467,111,2022-11-16 06:33:19+00:00
108,elonmusk,@wongmjane 😉,23976,806,2022-11-16 06:07:05+00:00
109,elonmusk,"@stevenmarkryan My apologies, this will be fixed within a week, two at most",5421,239,2022-11-16 05:52:20+00:00
110,elonmusk,@stillgray @dcherring @nichegamer Agreed. What will matter in the future is how many Verified followers you have.,6393,498,2022-11-16 05:43:18+00:00
111,elonmusk,@teslaownersSV We’ll widen V11 beta before Thanksgiving,11879,777,2022-11-16 01:34:35+00:00
112,elonmusk,@dcherring @nichegamer Hard to say who’s celeb &amp; who isn’t. Being able to sort by follower count &amp; disallowing deliberate impersonation probably solves this.,4868,291,2022-11-16 01:24:51+00:00
113,elonmusk,@nichegamer All unpaid legacy Blue checkmarks will be removed in a few months,14782,1661,2022-11-16 00:03:07+00:00
114,elonmusk,"@RationalBlonde With new release, changing your verified name will cause loss of checkmark until name is confirmed by Twitter to meet Terms of Service",10040,596,2022-11-15 23:26:28+00:00
115,elonmusk,@RationalBlonde 🤣,12137,266,2022-11-15 23:24:25+00:00
116,elonmusk,@TweetsOfJee @RationalBlonde 🤣,24700,618,2022-11-15 23:23:37+00:00
117,elonmusk,Punting relaunch of Blue Verified to November 29th to make sure that it is rock solid,226188,15347,2022-11-15 23:18:02+00:00
118,elonmusk,@business False,171996,7721,2022-11-15 23:02:52+00:00
119,elonmusk,@mrjasonchoi @nytimes Interesting thread,12257,635,2022-11-15 22:57:09+00:00
120,elonmusk,"@SenBillNelson @NASA @SpaceX Much appreciated, SpaceX will not let NASA down!",42596,2355,2022-11-15 22:54:56+00:00
121,elonmusk,Important to admit when I’m wrong &amp; firing them was truly one of my biggest mistakes,467207,20967,2022-11-15 20:43:17+00:00
122,elonmusk,Welcoming back Ligma &amp; Johnson! https://t.co/LEhXV95Njj,761565,49140,2022-11-15 20:40:54+00:00
123,elonmusk,@BillyM2k Actual Silicon Valley is way crazier!,10588,573,2022-11-15 19:50:14+00:00
124,elonmusk,"@waitbutwhy This is just as a result of people living longer. Population collapse is already built-in, due to dramatically decreasing birth rates.",14854,1029,2022-11-15 19:36:37+00:00
125,elonmusk,@jack @micsolana 💯,8337,300,2022-11-15 19:31:39+00:00
126,elonmusk,@elonchieftwit False,3280,166,2022-11-15 19:29:21+00:00
127,elonmusk,@mualphaxi @micsolana @JTLonsdale @SenMarkey Much appreciated,11690,552,2022-11-15 19:28:37+00:00
128,elonmusk,@presidentbison @schrep Schrep is great,1975,79,2022-11-15 18:22:20+00:00
129,elonmusk,@libsoftiktok A tragic case of adult onset Tourette’s,72532,3848,2022-11-15 18:18:29+00:00
130,elonmusk,@catturd2 @WholeMarsBlog You make a compelling case,27310,1166,2022-11-15 18:14:09+00:00
131,elonmusk,@micsolana The injustice of it all 😭😭,36043,1341,2022-11-15 17:47:05+00:00
132,elonmusk,@ajtourville @unusual_whales Seriously,9460,247,2022-11-15 17:37:55+00:00
133,elonmusk,@chriskatje @unusual_whales Ligma &amp; Johnson are welcome back anytime,32700,1470,2022-11-15 17:32:41+00:00
134,elonmusk,@unusual_whales I would like to apologize for firing these geniuses. Their immense talent will no doubt be of great use elsewhere.,291956,19372,2022-11-15 17:24:45+00:00
135,elonmusk,@MuskUniversity (cue Obama giving himself a medal meme),4865,252,2022-11-15 17:15:42+00:00
136,elonmusk,@MuskUniversity Exactly,13205,584,2022-11-15 17:15:03+00:00
137,elonmusk,@schrep Server control team knows because they stop working from time to time. That’s why they have the “critical 40” list.,2500,110,2022-11-15 17:10:29+00:00
138,elonmusk,"@schrep True. Server side can (and has been) brute-forced, but that can’t solve weak Internet connections &amp; older phones.

Worth noting that Twitter in India &amp; many other countries is slow even on latest iPhone.",2398,154,2022-11-15 17:09:10+00:00
139,elonmusk,"@WholeMarsBlog Starlink is rebuilding the Internet in space, so maybe I know slightly more than some guy who wrote code for a website",127644,8403,2022-11-15 17:04:47+00:00
140,elonmusk,"@schrep There are ~1200 “microservices” server side, of which ~40 are critical to Twitter working at all, according to server control team. 

Trimming down that 1200 number, reducing data usage, serialized trips &amp; simplifying app are all needed to improve speed of use.",2634,203,2022-11-15 16:53:12+00:00
141,elonmusk,"@schrep Twitter is very slow in India, Indonesia &amp; many other countries. This is fact, not “claim”.

10 to 15 secs to refresh homeline tweets is common. Sometimes, it doesn’t work at all, especially on Android phones.

Only question is how much delay is due to bandwidth/latency/app.",21068,1564,2022-11-15 16:44:31+00:00
142,elonmusk,@Umbisam Mr. Munger’s words are much appreciated,30382,1376,2022-11-15 16:33:15+00:00
143,elonmusk,@mayemusk @Twitter @instagram @Fidias0 🤗,11190,479,2022-11-15 16:28:12+00:00
144,elonmusk,@minliangtan @wlopwangling Malenia battle was next-level intense,3505,156,2022-11-15 10:25:50+00:00
145,elonmusk,"@minliangtan @wlopwangling Yes, although it seemed almost impossible at times",3619,131,2022-11-15 10:25:06+00:00
146,elonmusk,@waitbutwhy The ratings on this simulation are incredible,28735,1272,2022-11-15 10:23:22+00:00
147,elonmusk,@wlopwangling Definitely,25362,850,2022-11-15 10:17:39+00:00
148,elonmusk,@Popeska @sampullara Why is Twitter unusably slow in many countries? Seems odd that this would be bandwidth only.,2905,191,2022-11-15 10:14:19+00:00
149,elonmusk,"@micsolana Yeah, I hate it",4356,156,2022-11-15 09:39:59+00:00
150,elonmusk,"By the People,
For the People",254204,20597,2022-11-15 09:35:35+00:00
151,elonmusk,Twitter is All the News,429232,31369,2022-11-15 09:19:19+00:00
152,elonmusk,"@NASASpaceflight Next test is ~20 sec firing with max oxygen fill to test autogenous pressurization, possibly one more static fire, then orbital launch attempt",10343,796,2022-11-15 08:58:48+00:00
153,elonmusk,@NASASpaceflight Test went well,24336,1097,2022-11-15 08:30:43+00:00
154,elonmusk,@ChrisJBakke @TrungTPhan @nytimes 🤩,8245,278,2022-11-15 04:09:06+00:00
155,elonmusk,@_corywynn_ @TrungTPhan 🤣,2572,88,2022-11-15 03:29:18+00:00
156,elonmusk,@TrungTPhan Why the puff piece @nytimes?,99068,8623,2022-11-15 03:27:51+00:00
157,elonmusk,@WholeMarsBlog Good question,10097,492,2022-11-14 20:42:32+00:00
158,elonmusk,@cb_doge Did seem a little Dr Evil tbh haha,61072,2211,2022-11-14 20:35:10+00:00
159,elonmusk,"@alexeheath This is an external analysis, not from Twitter. It is lower than Twitter’s published mDAU.",7685,275,2022-11-14 20:34:15+00:00
160,elonmusk,Sìì! https://t.co/Gj1wHytJxk,48323,3169,2022-11-14 20:32:17+00:00
161,elonmusk,@NASASpaceflight Full test duration of 14 engines,29683,1820,2022-11-14 18:56:24+00:00
162,elonmusk,Recent trend is promising https://t.co/0q7UdxSkbM,134179,8395,2022-11-14 18:49:43+00:00
163,elonmusk,@nichegamer @abhiharry726 @sampullara That’s what I said!,3881,143,2022-11-14 16:01:11+00:00
164,elonmusk,"@abhiharry726 @sampullara In some parts of the world, refresh takes 30 seconds",1783,84,2022-11-14 15:34:42+00:00
165,elonmusk,@Popeska @sampullara How many serial requests are made by app to refresh timeline?,2237,108,2022-11-14 15:33:05+00:00
166,elonmusk,@sampullara And we will finally stop adding what device a tweet was written on (waste of screen space &amp; compute) below every tweet. Literally no one even knows why we did that …,31074,2748,2022-11-14 15:29:53+00:00
167,elonmusk,@sampullara Part of today will be turning off the “microservices” bloatware. Less than 20% are actually needed for Twitter to work!,9819,808,2022-11-14 15:27:45+00:00
168,elonmusk,"@sampullara I was told ~1200 RPCs independently by several engineers at Twitter, which matches # of microservices. The ex-employee is wrong.

Same app in US takes ~2 secs to refresh (too long), but ~20 secs in India, due to bad batching/verbose comms. Actually useful data transferred is low.",8352,556,2022-11-14 15:22:42+00:00
169,elonmusk,@mishaboar @MattWallace888 That is not good,4775,290,2022-11-14 14:54:03+00:00
170,elonmusk,@SeagerKershaw @KoguanLeo @hiromichimizuno This is up to the Tesla board,3544,210,2022-11-14 14:48:09+00:00
171,elonmusk,@leandroruschel @rmotta2 Can you cite specific instances of significance?,27955,2452,2022-11-14 14:19:19+00:00
172,elonmusk,@Alpsoy66 @EricFrohnhoefer @MEAInd I have Tesla covered too. Will be there part of this week.,3894,222,2022-11-14 14:17:47+00:00
173,elonmusk,@dogeofficialceo @EricFrohnhoefer @MEAInd That’s the bizarre part,3067,135,2022-11-14 14:16:36+00:00
174,elonmusk,@sselrehtaef 🤣💯,3660,94,2022-11-14 14:15:41+00:00
175,elonmusk,@helvio @rmotta2 How was it proven?,8014,552,2022-11-14 14:08:03+00:00
176,elonmusk,"@MattWallace888 Yay, he’s investing in Tesla!",84035,3602,2022-11-14 14:07:06+00:00
177,elonmusk,@TaraBull808 @MarioNawfal @KimDotcom @RealChetBLong @favrue3 @cvpayne @AlderLaneEggs @bennyjohnson @catturd2 @RealCandaceO A question worth asking,87376,8138,2022-11-14 14:03:46+00:00
178,elonmusk,@EricFrohnhoefer @MEAInd I’m ready through the list right now,3646,137,2022-11-14 14:02:42+00:00
179,elonmusk,"@EricFrohnhoefer @MEAInd True, the food is great. 

The fact that you don’t realize that there are up to 1200 “microservices” being called when someone uses the Twitter app is not great.",4571,254,2022-11-14 14:02:01+00:00
180,elonmusk,@FBIPantyRaid @ThisIsKyleR Interesting,2548,114,2022-11-14 13:58:36+00:00
181,elonmusk,@rmotta2 It’s on my list to review. How urgent is this?,137326,9213,2022-11-14 13:57:28+00:00
182,elonmusk,@SawyerMerritt That is my philosophy,50044,2735,2022-11-14 13:48:44+00:00
183,elonmusk,@jimcramer @JohnLegere Umm … no,24142,1061,2022-11-14 10:05:37+00:00
184,elonmusk,@chainsawdotcom @CL207 SpaceX Starlink bought a tiny – not large – ad package to test effectiveness of Twitter advertising in Australia &amp; Spain. Did same for FB/Insta/Google.,5796,341,2022-11-14 10:00:09+00:00
185,elonmusk,@NFTDannny @SawyerMerritt End of week,4419,206,2022-11-14 08:00:51+00:00
186,elonmusk,@Fwiz @SawyerMerritt Join Twitter!,7023,266,2022-11-14 07:59:56+00:00
187,elonmusk,@CL207 Comments in this thread had me rofl,5030,168,2022-11-14 07:44:40+00:00
188,elonmusk,@CL207 🤣🤣🔥🔥🪦🪦,40687,1487,2022-11-14 07:44:07+00:00
189,elonmusk,@SawyerMerritt Something tells me this would work 🧠,61327,3030,2022-11-14 07:40:45+00:00
190,elonmusk,@__SeriousGemini @dawallach @Jason That goes without saying 🤣,5622,426,2022-11-14 06:40:25+00:00
191,elonmusk,"@dawallach @Jason BTC will make it, but might be a long winter",27842,5426,2022-11-14 06:36:16+00:00
192,elonmusk,@johnjhacking Concerning,2494,118,2022-11-14 06:27:44+00:00
193,elonmusk,@TrungTPhan @SBF_FTX 🔥🔥,11778,358,2022-11-14 05:35:54+00:00
194,elonmusk,@ShooterMcKevin1 @MrHumanityGives Accurate assessment,2374,101,2022-11-14 04:40:49+00:00
195,elonmusk,@chicago_glenn @MrHumanityGives Great movie,3680,134,2022-11-14 04:36:27+00:00
